sentence	label
早餐不好，服务不到位，晚餐无苦餐，早餐晚餐相同，房间条件不好，餐厅不分吸烟区，房间不分有无烟房。	0
去的时候，酒店大厅和餐厅在装修，感觉大厅有点挤，由于餐厅装修本来该享受的早饭，也没有享受（他们是8点开）	0
有很长时间没有在西域大屋住了，以前去北京在这里住的较多。这次住进来发现换了液晶电视，但网络不是很好，	0
非常好的地理位置，住的是豪华海景房，打开窗户就可以看见栈桥和海景。记得很早以前也住过，现在重新装修，	1
交通很方便，房间小了一点，但是干净整洁，很有香港的特色，性价比较高，推荐一下哦！	1
酒店的装修比较陈旧，房间的隔音，主要是卫生间的隔音非常差，只能算是一般的	0
酒店有点旧，房间比较小，但酒店的位子不错，就在海边，可以直接去游泳。8楼的海景打开窗户就是海。如果想	1
位置很好，走路到文庙、清凉寺5分钟都用不了，周边公交车很多很方便，就是出租车不太爱去（老城区路窄爱堵	1
酒店设备一般，套房里卧室不能上网，要到客厅去。	0
早餐品种丰富，服务亲切，房间干净，视野很好，性价比高，推荐给朋友。	1
房间隔音极差，隔壁说话听得很清楚，床也不舒服，睡得不好。	0
位置绝佳，离地铁站很近，周边吃的很多，前台服务热情，下次还来。	1
卫生间有异味，空调声音太大，晚上一直响，影响休息。	0
酒店设计很有特色，床品舒适，早餐也好吃，尤其是现煮的面条。	1
前台态度冷淡，入住等了好久，房间还没有打扫干净，不太满意。	0
海景房视野开阔，傍晚看日落很美，房间整洁，适合度假。	1
设施老旧，电视遥控器不好用，淋浴水压太小，洗澡不方便。	0
价格实惠，交通方便，虽然房间不大但很温馨，适合短住。	1
房间不隔音，走廊脚步声听得清清楚楚，晚上很难安静入睡。	0
酒店环境安静，床很舒服，早餐味道不错，工作人员很有礼貌。	1
房间里居然有蚂蚁，枕头还有味道，窗户也关不严，失望。	0
性价比超高，离景区很近，走路就能到，晚上也很安静。	1
热水供应不稳定，洗澡时突然变冷水，实在太难受了。	0
前台服务贴心，帮忙升级了房间，视野特别好，值得再来。	1
隔音效果差，半夜还能听到隔壁电视声，根本睡不好。	0
新装修的房间，设施很新，干净明亮，住得很舒心。	1
房间地毯有污渍，窗帘也坏了，感觉卫生没做到位。	0
位置在市中心，逛街吃饭超方便，酒店设计也时尚。	1
空调制冷不足，房间很闷，晚上热醒了好几次。	0
早餐种类多，还有当地特色小吃，房间也宽敞整洁。	1